,Year,Month,State,County,Rate
293707,1990,April,California,Humboldt County,8.1
293708,1990,April,California,Sonoma County,3.8
293709,1990,April,California,San Luis Obispo County,3.8
293710,1990,April,California,Glenn County,10.6
293711,1990,April,California,Nevada County,5.1
293712,1990,April,California,Yolo County,6.0
293713,1990,April,California,Sacramento County,4.3
293714,1990,April,California,Fresno County,12.4
293715,1990,April,California,Calaveras County,6.8
293716,1990,April,California,Marin County,2.3
293717,1990,April,California,Lassen County,10.4
293718,1990,April,California,Contra Costa County,3.6
293719,1990,April,California,Yuba County,12.1
293720,1990,April,California,Del Norte County,13.1
293721,1990,April,California,San Mateo County,2.4
293722,1990,April,California,Mono County,3.0
293723,1990,April,California,Merced County,14.9
293724,1990,April,California,Santa Cruz County,9.0
293725,1990,April,California,Ventura County,4.2
293726,1990,April,California,Placer County,4.3
293727,1990,April,California,Inyo County,6.7
293728,1990,April,California,Stanislaus County,12.7
293729,1990,April,California,Orange County,3.0
293730,1990,April,California,Trinity County,12.1
293731,1990,April,California,Alpine County,5.1
293732,1990,April,California,Madera County,16.1
293733,1990,April,California,Imperial County,22.7
293734,1990,April,California,Kings County,11.3
293735,1990,April,California,Mariposa County,5.6
293736,1990,April,California,San Benito County,13.9
293737,1990,April,California,Lake County,9.6
293738,1990,April,California,El Dorado County,4.6
293739,1990,April,California,Solano County,4.6
293740,1990,April,California,Los Angeles County,5.6
293741,1990,April,California,San Diego County,4.0
293742,1990,April,California,Alameda County,3.9
293743,1990,April,California,Colusa County,10.9
293744,1990,April,California,Sierra County,14.5
293745,1990,April,California,Tehama County,9.1
293746,1990,April,California,Modoc County,8.9
293747,1990,April,California,Amador County,5.1
293748,1990,April,California,San Joaquin County,9.8
293749,1990,April,California,Siskiyou County,11.2
293750,1990,April,California,Riverside County,5.9
293751,1990,April,California,San Francisco County,3.5
293752,1990,April,California,San Bernardino County,4.9
293753,1990,April,California,Santa Clara County,3.7
293754,1990,April,California,Tulare County,12.1
293755,1990,April,California,Shasta County,8.5
293756,1990,April,California,Santa Barbara County,4.7
293757,1990,April,California,Monterey County,10.0
293758,1990,April,California,Tuolumne County,7.9
293759,1990,April,California,Sutter County,15.9
293760,1990,April,California,Butte County,8.7
293761,1990,April,California,Kern County,10.9
293762,1990,April,California,Napa County,3.9
293763,1990,April,California,Mendocino County,6.8
293764,1990,April,California,Plumas County,11.6
279856,1990,August,California,Humboldt County,6.6
279857,1990,August,California,Sonoma County,3.9
279858,1990,August,California,San Luis Obispo County,4.9
279859,1990,August,California,Glenn County,12.3
279860,1990,August,California,Nevada County,4.0
279861,1990,August,California,Yolo County,5.1
279862,1990,August,California,Sacramento County,4.3
279863,1990,August,California,Fresno County,9.2
279864,1990,August,California,Calaveras County,5.4
279865,1990,August,California,Marin County,2.7
279866,1990,August,California,Lassen County,7.3
279867,1990,August,California,Contra Costa County,4.3
279868,1990,August,California,Yuba County,7.5
279869,1990,August,California,Del Norte County,10.2
279870,1990,August,California,San Mateo County,2.8
279871,1990,August,California,Mono County,5.1
279872,1990,August,California,Merced County,9.3
279873,1990,August,California,Santa Cruz County,5.5
279874,1990,August,California,Ventura County,7.0
279875,1990,August,California,Placer County,3.7
279876,1990,August,California,Inyo County,7.1
279877,1990,August,California,Stanislaus County,8.7
279878,1990,August,California,Orange County,3.8
279879,1990,August,California,Trinity County,8.1
279880,1990,August,California,Alpine County,10.8
279881,1990,August,California,Madera County,11.0
279882,1990,August,California,Imperial County,34.1
279883,1990,August,California,Kings County,9.5
279884,1990,August,California,Mariposa County,5.2
279885,1990,August,California,San Benito County,8.1
279886,1990,August,California,Lake County,6.3
279887,1990,August,California,El Dorado County,3.7
279888,1990,August,California,Solano County,4.5
279889,1990,August,California,Los Angeles County,6.1
279890,1990,August,California,San Diego County,5.0
279891,1990,August,California,Alameda County,4.3
279892,1990,August,California,Colusa County,7.9
279893,1990,August,California,Sierra County,5.5
279894,1990,August,California,Tehama County,9.8
279895,1990,August,California,Modoc County,7.5
279896,1990,August,California,Amador County,4.2
279897,1990,August,California,San Joaquin County,7.8
279898,1990,August,California,Siskiyou County,10.5
279899,1990,August,California,Riverside County,8.6
279900,1990,August,California,San Francisco County,4.3
279901,1990,August,California,San Bernardino County,6.1
279902,1990,August,California,Santa Clara County,3.9
279903,1990,August,California,Tulare County,10.9
279904,1990,August,California,Shasta County,6.9
279905,1990,August,California,Santa Barbara County,4.7
279906,1990,August,California,Monterey County,6.8
279907,1990,August,California,Tuolumne County,4.9
279908,1990,August,California,Sutter County,8.6
279909,1990,August,California,Butte County,7.2
279910,1990,August,California,Kern County,9.5
279911,1990,August,California,Napa County,4.6
279912,1990,August,California,Mendocino County,5.8
279913,1990,August,California,Plumas County,4.9
296274,1990,December,California,Humboldt County,9.2
296275,1990,December,California,Sonoma County,4.4
296276,1990,December,California,San Luis Obispo County,5.8
296277,1990,December,California,Glenn County,13.1
296278,1990,December,California,Nevada County,5.6
296279,1990,December,California,Yolo County,9.1
296280,1990,December,California,Sacramento County,5.3
296281,1990,December,California,Fresno County,13.4
296282,1990,December,California,Calaveras County,8.2
296283,1990,December,California,Marin County,2.7
296284,1990,December,California,Lassen County,11.6
296285,1990,December,California,Contra Costa County,4.3
296286,1990,December,California,Yuba County,12.4
296287,1990,December,California,Del Norte County,11.3
296288,1990,December,California,San Mateo County,2.8
296289,1990,December,California,Mono County,14.8
296290,1990,December,California,Merced County,15.5
296291,1990,December,California,Santa Cruz County,9.3
296292,1990,December,California,Ventura County,7.1
296293,1990,December,California,Placer County,5.0
296294,1990,December,California,Inyo County,9.0
296295,1990,December,California,Stanislaus County,13.8
296296,1990,December,California,Orange County,4.1
296297,1990,December,California,Trinity County,17.7
296298,1990,December,California,Alpine County,13.5
296299,1990,December,California,Madera County,15.7
296300,1990,December,California,Imperial County,23.8
296301,1990,December,California,Kings County,13.4
296302,1990,December,California,Mariposa County,8.3
296303,1990,December,California,San Benito County,16.1
296304,1990,December,California,Lake County,10.1
296305,1990,December,California,El Dorado County,5.6
296306,1990,December,California,Solano County,5.7
296307,1990,December,California,Los Angeles County,6.4
296308,1990,December,California,San Diego County,5.3
296309,1990,December,California,Alameda County,4.2
296310,1990,December,California,Colusa County,22.7
296311,1990,December,California,Sierra County,14.3
296312,1990,December,California,Tehama County,12.0
296313,1990,December,California,Modoc County,12.7
296314,1990,December,California,Amador County,6.1
296315,1990,December,California,San Joaquin County,12.3
296316,1990,December,California,Siskiyou County,15.0
296317,1990,December,California,Riverside County,8.4
296318,1990,December,California,San Francisco County,3.7
296319,1990,December,California,San Bernardino County,6.5
296320,1990,December,California,Santa Clara County,4.5
296321,1990,December,California,Tulare County,15.0
296322,1990,December,California,Shasta County,10.1
296323,1990,December,California,Santa Barbara County,5.9
296324,1990,December,California,Monterey County,13.4
296325,1990,December,California,Tuolumne County,7.3
296326,1990,December,California,Sutter County,17.8
296327,1990,December,California,Butte County,8.9
296328,1990,December,California,Kern County,12.0
